caseid,1,2,3,4,5
843215,partnered,,partnered,,
846681,married,married,married,married,married
847471,married,married,married,married,married
849591,married,married,married,married,married
850621,married,married,married,married,married
852291,married,married,,married,married
854321,married,married,married,married,married
855291,married,married,,married,married
857421,married,married,married,married,married
860495,partnered,partnered,partnered,partnered,partnered
863321,married,married,married,married,married
864491,married,married,,married,married
865761,married,married,,married,married
866281,married,married,married,married,married
867591,married,,,married,married
870281,married,married,,,
871691,married,married,married,married,married
872215,partnered,partnered,,,
873623,partnered,partnered,,,
875485,partnered,partnered,,,
877525,partnered,partnered,partnered,,
878321,married,married,married,married,married
879303,partnered,partnered,,,
885511,married,,married,married,married
887421,married,married,,married,married
888391,married,married,married,married,married
889295,partnered,partnered,partnered,,
891551,married,married,married,married,married
892453,partnered,partnered,,,
895411,married,married,married,married,married
896413,partnered,partnered,partnered,partnered,partnered
898456,partnered,partnered,partnered,partnered,partnered
899246,partnered,partnered,partnered,partnered,partnered
900391,married,married,married,married,married
901691,married,married,married,married,married
902521,partnered,partnered,married,married,married
903206,partnered,,partnered,partnered,partnered
904751,married,married,married,married,married
905491,married,,married,married,married
906593,partnered,partnered,,,
907301,married,married,married,married,married
909792,partnered,partnered,,,
910521,married,married,married,married,married
918235,partnered,partnered,partnered,,
919582,married,married,,,
922591,married,married,married,married,married
923466,partnered,partnered,partnered,partnered,partnered
924602,partnered,partnered,,partnered,partnered
926551,married,married,,married,married
928523,partnered,partnered,,,
932566,partnered,partnered,,partnered,partnered
934261,married,married,married,married,married
939441,married,married,married,married,married
942656,married,married,married,married,married
943441,married,married,married,married,married
944531,married,married,married,married,married
945665,partnered,partnered,partnered,,
946371,married,married,married,married,married
948531,married,married,married,married,married
951271,married,married,married,married,married
952371,married,married,married,married,married
953681,married,married,,married,married
954702,partnered,partnered,,partnered,partnered
956591,married,married,,married,married
959381,married,married,married,married,married
960593,married,married,married,married,married
963573,partnered,partnered,,,
965575,partnered,partnered,partnered,,
966351,married,married,married,married,married
967663,married,married,married,married,married
971831,married,married,,married,married
972391,married,married,married,married,married
973581,married,married,married,married,married
974591,married,married,married,married,married
976531,married,married,married,married,married
977741,married,married,married,married,married
978651,married,married,,married,married
979711,married,married,married,married,married
982591,married,married,married,married,married
983661,married,married,married,married,married
984451,married,married,married,married,married
985571,married,married,married,married,married
986481,married,married,married,married,married
987411,married,married,married,married,married
989215,partnered,partnered,,partnered,partnered
990636,partnered,partnered,partnered,partnered,partnered
991466,partnered,partnered,partnered,married,married
992341,married,married,,married,married
995656,married,married,married,married,married
998391,married,married,,married,married
1000561,married,married,,married,married
1001791,married,married,,married,married
1003291,married,married,married,married,married
1004741,married,,married,married,married
1005421,married,married,,married,married
1006611,married,married,married,married,married
1008275,married,married,married,,
1009361,married,married,married,married,married
1010732,married,married,,,
1011511,married,married,married,married,married
1015371,married,married,married,married,married
1017606,married,married,married,married,married
1018641,married,married,married,married,married
