caseid,1,2,3,4,5
620565,not married,partnered,Partnered,Unmarried partners,unmarried partners
622641,married,married,Married,Married,married
623493,not married,partnered,,,
624536,married,married,Married,Married,married
625435,not married,,,,
626255,not married,partnered,Partnered,Married,married
627533,not married,partnered,,,
628841,married,married,Married,,
629205,not married,,,,
630534,married,married,,,
631265,not married,,,,
632473,married,married,,,
633631,married,married,Married,Married,married
634595,not married,,,,
635411,married,married,Married,Married,married
636631,married,married,Married,Married,married
637503,not married,,,,
638635,not married,,,,
639211,married,married,Married,,
640596,not married,partnered,Partnered,Unmarried partners,unmarried partners
641454,not married,,,,
643545,not married,,,,
644573,not married,,,,
645922,married,,,,
646613,not married,partnered,,,
648586,not married,partnered,,Unmarried partners,unmarried partners
649295,not married,,,,
650616,not married,partnered,Partnered,Unmarried partners,unmarried partners
651701,married,married,Married,Married,married
652271,married,married,Married,Married,married
653573,not married,,,Unmarried partners,unmarried partners
654431,married,married,Married,Married,married
655505,not married,partnered,Partnered,,
656225,not married,partnered,Partnered,Married,married
657761,married,,,Married,married
658356,married,married,Married,Married,married
660391,married,married,Married,Married,married
661466,not married,partnered,Partnered,Unmarried partners,unmarried partners
662732,not married,,,,
663872,married,married,,,
664501,married,married,Married,Married,married
665256,not married,partnered,Partnered,Unmarried partners,unmarried partners
666686,not married,partnered,Partnered,Unmarried partners,unmarried partners
667321,married,,,Married,married
668501,married,married,Married,Married,married
669511,married,married,Married,Married,married
670721,married,married,Married,Married,married
671481,married,married,Married,Married,married
672681,married,married,Married,Married,married
673371,married,married,Married,Married,married
674385,not married,,,,
675671,married,married,Married,Married,married
676315,not married,,,,
677226,not married,partnered,Married,Married,married
679573,not married,,,,
680225,not married,partnered,Partnered,Unmarried partners,married
681525,not married,,,,
682691,not married,,,,
683593,not married,,,,
684695,not married,,,,
685465,not married,,,,
686266,not married,partnered,Partnered,,
687672,not married,,,,
688245,not married,,,,
689556,not married,partnered,,Unmarried partners,unmarried partners
690195,not married,partnered,,,
691395,not married,,,,
692321,married,married,Married,Married,married
693365,not married,partnered,Married,Married,married
694703,not married,,,,
695592,not married,,,,
696413,not married,partnered,Married,,married
697396,not married,partnered,Partnered,Married,married
698271,married,married,Married,Married,married
699762,not married,,,,
700396,not married,partnered,Partnered,Unmarried partners,unmarried partners
701496,not married,partnered,Partnered,Unmarried partners,unmarried partners
702553,not married,,,,
703215,not married,,,Unmarried partners,unmarried partners
704331,married,married,Married,Married,married
705295,not married,,,,
706306,married,,,Married,married
707663,not married,,,,
708603,not married,,,,
709205,not married,partnered,,,
710675,not married,,,,
711676,not married,partnered,Partnered,Unmarried partners,unmarried partners
712403,not married,partnered,,,
713433,not married,,,,
714533,not married,partnered,Partnered,Unmarried partners,unmarried partners
715631,married,,,Married,married
716436,not married,,,,
717491,married,married,,Married,married
718255,not married,partnered,Married,Married,married
719606,not married,partnered,Partnered,Unmarried partners,unmarried partners
720753,not married,,,,
721305,not married,partnered,,Unmarried partners,unmarried partners
722225,not married,partnered,Partnered,,
723325,not married,partnered,Partnered,Unmarried partners,married
724301,married,married,Married,Married,married
725421,married,married,Married,Married,married
726441,married,married,Married,Married,married
727261,married,married,Married,Married,married
728495,not married,,,,
729486,not married,partnered,,Unmarried partners,unmarried partners
730215,not married,,,,
731431,married,married,,Married,married
732675,not married,,,,
733315,not married,partnered,Partnered,Unmarried partners,unmarried partners
734541,married,married,Married,Married,married
735751,married,married,,,
736583,not married,,,,
737741,married,married,Married,Married,married
738561,married,,,Married,married
739585,not married,,,,
740205,not married,partnered,,,
741351,married,married,Married,Married,married
742246,not married,partnered,Married,Married,married
743505,not married,,,,
744391,married,married,,Married,married
745435,not married,partnered,,Unmarried partners,unmarried partners
746481,married,,,Married,married
747281,married,,Married,Married,married
748371,married,married,Married,Married,married
749566,not married,partnered,Partnered,Unmarried partners,unmarried partners
750561,married,married,Married,Married,married
752271,married,married,Married,Married,married
753792,not married,,,,
754281,married,married,Married,Married,married
755501,married,married,Married,Married,married
756296,not married,partnered,Partnered,Unmarried partners,unmarried partners
757562,not married,,,,
758456,not married,partnered,Partnered,Unmarried partners,unmarried partners
760933,not married,,,,
761391,married,married,Married,Married,married
762205,married,married,,Married,married
764225,not married,,,,
766663,not married,,,,
767351,married,married,,,
768371,married,married,Married,Married,married
769435,not married,,,,
770235,not married,,,,
771351,married,married,Married,Married,married
772291,married,married,Married,Married,married
773351,married,married,Married,Married,married
774401,married,married,Married,,
775703,not married,partnered,Partnered,Unmarried partners,unmarried partners
776643,not married,,,,
777281,married,married,Married,Married,married
778421,married,married,Married,Married,married
779623,not married,,,,
780753,not married,partnered,Partnered,Unmarried partners,unmarried partners
781615,not married,partnered,Partnered,Unmarried partners,unmarried partners
782861,married,married,Married,Married,married
784651,married,married,,Married,married
786215,not married,partnered,Partnered,Unmarried partners,unmarried partners
787561,married,married,Married,Married,married
788331,married,married,Married,Married,married
789391,married,married,Married,Married,married
790595,not married,partnered,,,
791225,not married,partnered,,,
792573,not married,,,Unmarried partners,unmarried partners
793436,married,,,Married,married
794276,not married,partnered,Partnered,Unmarried partners,unmarried partners
795475,not married,,,,
797421,married,married,,,
798543,not married,partnered,Partnered,,
799451,married,married,Married,Married,married
800531,married,married,,Married,married
801583,not married,,,,
802475,not married,,,,
803573,not married,partnered,,Unmarried partners,unmarried partners
805546,not married,partnered,Partnered,Unmarried partners,unmarried partners
806551,married,married,Married,Married,married
808583,not married,partnered,Partnered,,
809281,married,married,,Married,married
810426,not married,partnered,Partnered,Unmarried partners,unmarried partners
811741,married,married,Married,Married,married
812613,not married,,,,
813506,married,married,,,
814822,not married,,,,
815575,not married,,,,
816456,not married,partnered,Partnered,Unmarried partners,unmarried partners
817691,married,married,,,
818301,married,married,Married,Married,married
819481,married,married,Married,Married,married
820666,not married,partnered,Partnered,Unmarried partners,unmarried partners
821611,married,,,Married,married
822235,not married,,,,
824713,not married,,,,
825281,married,married,Married,Married,married
826486,not married,partnered,Partnered,,
827952,married,,,,
828286,married,married,,Married,married
829216,not married,partnered,,,
830551,married,married,Married,Married,married
831431,married,married,Married,Married,married
832551,married,married,Married,Married,married
833543,not married,,,,
834531,married,married,Married,Married,married
836491,not married,partnered,,Married,married
837215,not married,partnered,Partnered,,
838523,not married,partnered,Partnered,Unmarried partners,unmarried partners
839386,not married,partnered,Partnered,Unmarried partners,unmarried partners
840205,not married,partnered,,,
841581,married,,Married,Married,married
